元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
陣床山城,https://gosenzo.net/yamajiro/2021/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%99%a3%e5%ba%8a%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e4%b8%89%e8%8b%a5%e7%94%ba%e3%80%91/,陣床山城,,天文22年（1553）,毛利元就,広島県三次市三若町,34.707570,132.879888
高八山城,https://gosenzo.net/yamajiro/2021/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%ab%98%e5%85%ab%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e4%b8%89%e5%92%8c%e7%94%ba%e4%b8%8a%e5%a3%b1%e3%80%91/,高八山城,山光寺山城,永正年間(1504年〜1521年)頃か,上山氏,広島県三次市三和町上壱,34.630016,132.846757
井上土居屋敷,https://gosenzo.net/yamajiro/2022/03/18/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%95%e4%b8%8a%e5%9c%9f%e5%b1%85%e5%b1%8b%e6%95%b7%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e7%95%a0%e6%95%b7%e7%94%ba%e3%80%91/,井上土居屋敷,無し,不明,井上氏,広島県三次市畠敷町,34.809704,132.892327
三段田城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e6%ae%b5%e7%94%b0%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e8%a5%bf%e9%85%92%e5%b1%8b%e7%94%ba%e5%a4%a7%e4%b9%85%e4%bf%9d%e3%80%91/,三段田城,無し,不明,不明（三吉氏家臣か）,三次市西酒屋町大久保,34.786500,132.858173
寄貞城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%af%84%e8%b2%9e%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e8%a5%bf%e9%85%92%e5%b1%8b%e7%94%ba%e3%80%91/,寄貞城,無し,不明,不明,広島県三次市西酒屋城,34.782826,132.853955
元末城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9c%ab%e5%85%83%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e8%a5%bf%e9%85%92%e5%b1%8b%e7%94%ba%e3%80%91/,末元城,無し,不明,不明,広島県三次市西酒屋町,34.785769,132.850264
姫ヶ城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a7%ab%e3%83%b6%e5%b6%bd%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%b8%83%e9%87%8e%e7%94%ba%e4%b8%8b%e5%b8%83%e9%87%8e%e3%80%91/,姫ヶ嶽城,無し,不明,槇原藤五左衛門,広島県三次市布野町下布野,34.864702,132.786420
狐城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%8b%90%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%b8%83%e9%87%8e%e7%94%ba%e4%b8%8b%e5%b8%83%e9%87%8e%e3%80%91/,狐城,無し,不明,不明（槙原氏か）,広島県三次市布野町下布野,34.866770,132.788852
沼山城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b2%bc%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%8d%81%e6%97%a5%e5%b8%82%e7%94%ba%e3%80%91/,沼山城,沼之城、沼城,不明,三吉五郎右衛門　三吉豊後守,広島県三次市十日市町,34.794020,132.845766
加井妻城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8a%a0%e4%ba%95%e5%a6%bb%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e7%b2%9f%e5%b1%8b%e7%94%ba%e3%80%91/,加井妻城,青屋城、加伊津女城、飼地城、卑城,永正元年～大永3年（1504～1523）頃,青屋出羽守友梅、三吉氏,広島県三次市粟屋町,34.767727,132.804636
勝山城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8b%9d%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e7%b2%9f%e5%b1%8b%e7%94%ba%e3%80%91/,勝山城,無し,戦国時代,粟屋隆信、粟屋五郎衛門？、三吉豊後守　三吉新四郎,広島県三次市粟屋町,34.772998,132.808000
亀山城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%80%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e8%a5%bf%e6%b2%b3%e5%86%85%e7%94%ba%e3%80%91/,亀山城,無し,不明,河内氏,広島県三次市西河内町,34.840772,132.852675
福原城,https://gosenzo.net/yamajiro/2022/03/19/%e3%80%90%e5%ba%83%e5%b3%b6%e3%80%91%e7%a6%8f%e5%8e%9f%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e4%bd%9c%e6%9c%a8%e7%94%ba%e4%b8%8a%e4%bd%9c%e6%9c%a8%e3%80%91/,福原城,小屋谷山城,不明（戦国時代か）,佐久木新右衛門,広島県三次市作木町上作木,34.884591,132.744421
南山城,https://gosenzo.net/yamajiro/2022/03/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8d%97%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%92%8c%e7%9f%a5%e7%94%ba%e3%80%91/,南山城,無し,1527年の細沢山の戦いで尼子経久率いる尼子方が使用したらしい,尼子経久,広島県三次市和知町,34.798579,132.915694
古城山城,https://gosenzo.net/yamajiro/2022/03/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%9f%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%92%8c%e7%9f%a5%e7%94%ba%e3%80%91/,古城山城,無し,13世紀後半か,広沢与三実高（後に和智氏となる）,広島県三次市和知町,34.811215,132.930217
新宮山城,https://gosenzo.net/yamajiro/2022/03/20/%e3%80%90-%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%96%b0%e5%ae%ae%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%bf%97%e5%b9%b8%e7%94%ba%e3%80%91/,新宮山城,無し,不明,新宮左衛門、新宮甲斐守,広島県三次市志幸町,34.769342,132.924481
南天山城,https://gosenzo.net/yamajiro/2022/03/20/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8d%97%e5%a4%a9%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%90%89%e8%88%8e%e7%94%ba%e5%90%89%e8%88%8e%e3%80%91/,南天山城,矢の城,和智氏は資実のときに和知から吉舎へ移ったらしい。,和智氏,広島県三次市吉舎町吉舎,34.713604,132.986659
三角山城,https://gosenzo.net/yamajiro/2022/05/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e8%a7%92%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e7%94%b2%e5%a5%b4%e7%94%ba%e6%8a%9c%e6%b9%af%e3%80%91/,三角山城,無し,不明,伊達氏,広島県三次市甲奴町抜湯,34.756377,133.066180
古屋城・段畑城,https://gosenzo.net/yamajiro/2022/05/21/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%90%89%e8%88%8e%e7%94%ba%e4%b8%8a%e5%ae%89%e7%94%b0%e3%80%91/,古屋城,太郎丸城、かます城,南北朝時代か,秋山氏,広島県三次市吉舎町大字上安田,34.755094,133.056625
古屋城・段畑城,https://gosenzo.net/yamajiro/2022/05/21/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%90%89%e8%88%8e%e7%94%ba%e4%b8%8a%e5%ae%89%e7%94%b0%e3%80%91/,段畑城,無し,不明,不明であるが秋山氏の可能性が高い。,広島県三次市甲奴町太郎丸,34.760503,133.063514
古屋城・段畑城,https://gosenzo.net/yamajiro/2022/05/21/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%90%89%e8%88%8e%e7%94%ba%e4%b8%8a%e5%ae%89%e7%94%b0%e3%80%91/,茅城,無し,不明,福場備前守、秋山朝綱,庄原市総領町亀谷,34.782984,133.089497
古屋城・段畑城,https://gosenzo.net/yamajiro/2022/05/21/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e5%90%89%e8%88%8e%e7%94%ba%e4%b8%8a%e5%ae%89%e7%94%b0%e3%80%91/,井原城,大谷山城,不明,森戸弾正忠実泰（田総氏の被官）、川上杢之進常之（毛利元就の家臣）、山内滝口炊介武通（山内氏家臣か）　秋山朝綱,庄原市総領町下領家,34.777575,133.082126
有田城,https://gosenzo.net/yamajiro/2022/09/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9c%89%e7%94%b0%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e7%94%b2%e5%a5%b4%e7%94%ba%e6%9c%89%e7%94%b0%e3%80%91/,有田城,無し,不明,不明,広島県三次市甲奴町有田,34.738263,133.077775
小童山根城,https://gosenzo.net/yamajiro/2022/09/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b0%8f%e7%ab%a5%e5%b1%b1%e6%a0%b9%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e7%94%b2%e5%a5%b4%e7%94%ba%e5%b0%8f%e7%ab%a5%e3%80%91/,小童山根城（ひちやまねじょう）,無し,不明,長井田総氏の代官である土屋氏か,広島県三次市甲奴町小童,34.676659,133.070412
龍王山城,https://gosenzo.net/yamajiro/2022/09/03/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%be%8d%e7%8e%8b%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%89%e6%ac%a1%e5%b8%82%e7%94%b2%e5%a5%b4%e7%94%ba%e6%9c%ac%e9%83%b7%e3%80%91/,龍王山城,無し,不明,不明,広島県三次市甲奴町本郷,34.698509,133.087709
亀居城,https://gosenzo.net/yamajiro/2022/01/15/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%80%e5%b1%85%e5%9f%8e%e3%80%90%e5%a4%a7%e7%ab%b9%e5%b8%82%e5%b0%8f%e6%96%b9%e3%80%91/,亀居城,小方城,慶長13年（1608）,福島氏,広島県大竹市小方,34.240483,132.216497
今高野山城,https://gosenzo.net/yamajiro/2022/02/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bb%8a%e9%ab%98%e9%87%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e4%b8%96%e7%be%85%e9%83%a1%e7%94%b2%e5%b1%b1%e7%94%ba%e3%80%91/,今高野山城,甲山城,永正年間（1504～21）,上原氏,広島県世羅郡世羅町甲山字古城山,34.581804,133.057514
沼城,https://gosenzo.net/yamajiro/2022/02/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b2%bc%e5%9f%8e%e3%80%90%e4%b8%96%e7%be%85%e9%83%a1%e7%94%b2%e5%b1%b1%e7%94%ba%e8%a5%bf%e4%b8%8a%e5%8e%9f%e3%80%91/,沼城,無し,永正年間（1504～21）,上原氏,広島県世羅郡甲山町西上原,34.588421,133.060709
壬生城,https://gosenzo.net/yamajiro/2022/02/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a3%ac%e7%94%9f%e5%9f%8e%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e5%a3%ac%e7%94%9f%e3%80%91/,壬生城,高峰城,鎌倉時代か,山県氏,広島県山県郡北広島町壬生,34.680565,132.548544
有田城,https://gosenzo.net/yamajiro/2022/02/11/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9c%89%e7%94%b0%e5%9f%8e%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e6%9c%89%e7%94%b0%e3%80%91/,有田城,茗荷丸城,戦国期以前,有田氏、小田信忠,広島県山県郡北広島町有田,34.670739,132.530306
枝の城,https://gosenzo.net/yamajiro/2022/02/11/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9e%9d%e3%81%ae%e5%9f%8e%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e5%a4%a7%e6%9c%9d%e5%ad%97%e9%87%8e%e7%94%b0%e5%9c%b0/,枝の城,野田の城,不明,森脇氏,広島県山県郡北広島町大朝,34.776716,132.451440
駿河丸城,https://gosenzo.net/yamajiro/2022/02/11/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%a7%bf%e6%b2%b3%e4%b8%b8%e5%9f%8e%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e5%a4%a7%e6%9c%9d%e5%ad%97%e9%96%93%e6%89%80/,駿河丸城,平家丸、間所城,正和2年(1313)に吉川経高によって築かれたと云われる。,吉川氏,広島県山県郡北広島町大朝字間所,34.778290,132.461128
小倉山城,https://gosenzo.net/yamajiro/2022/02/11/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b0%8f%e5%80%89%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e6%96%b0%e5%ba%84%e3%80%91/,小倉山城,小倉城、小蔵山城、紅葉山城,応永22年（1415）年頃か,吉川氏,広島県山県郡北広島町新庄,34.770572,132.497070
日山城,https://gosenzo.net/yamajiro/2022/02/11/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%97%a5%e5%b1%b1%e5%9f%8e%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e6%96%b0%e5%ba%84%e3%80%91/,日野山城,"火の山城,日野山城",天文15年（1546）,吉川氏,広島県山県郡北広島町新庄（日野山、火野山）,34.735273,132.486978
吉川元春館跡,https://gosenzo.net/yamajiro/2022/02/11/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%90%89%e5%b7%9d%e5%85%83%e6%98%a5%e9%a4%a8%e8%b7%a1%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e6%b5%b7%e5%bf%9c%e5%af%ba/,吉川元春館跡,無し,天正11年(1583)吉川元春によって築かれたとあるが1550～1586頃の幅があるかもしれない,吉川元春,広島県山県郡北広島町海応寺,34.716364,132.465119
万徳院跡,https://gosenzo.net/yamajiro/2022/02/11/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%87%e5%be%b3%e9%99%a2%e8%b7%a1%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e8%88%9e%e7%b6%b1%e3%80%91/,万徳院跡,無し,天正3年(1575)頃に吉川元長によって建立された寺院。,吉川元長,広島県山県郡北広島町舞綱,34.723666,132.472996
松本屋敷,https://gosenzo.net/yamajiro/2025/06/07/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9d%be%e6%9c%ac%e5%b1%8b%e6%95%b7%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e6%b5%b7%e5%bf%9c%e5%af%ba%e3%80%91/,松本屋敷,姫屋敷、松本御前屋敷,1588年頃,吉川元春の妻（新庄局）が吉川元春屋敷完成前に居住したと伝わる。また吉川広家妻との伝承もある。,広島県北広島町海応寺,34.718800,132.463506
火野山地土居屋敷,https://gosenzo.net/yamajiro/2025/06/08/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%81%ab%e9%87%8e%e5%b1%b1%e5%9c%b0%e5%9c%9f%e5%b1%85%e5%b1%8b%e6%95%b7%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e8%88%9e/,火野山地土居屋敷,無し,16世紀？,石井木工允,広島県北広島町舞綱,34.716709,132.489500
今田土居屋敷,https://gosenzo.net/yamajiro/2025/06/08/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bb%8a%e7%94%b0%e5%9c%9f%e5%b1%85%e5%b1%8b%e6%95%b7%e3%80%90%e5%b1%b1%e7%9c%8c%e9%83%a1%e5%8c%97%e5%ba%83%e5%b3%b6%e7%94%ba%e6%98%a5%e6%9c%a8%e3%80%91/,今田土居屋敷,無し,不明,不明,広島県山県郡北広島町春木,34.694094,132.517749
阿良井城,https://gosenzo.net/yamajiro/2022/02/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%98%bf%e8%89%af%e4%ba%95%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e7%a6%8f%e5%af%8c%e7%94%ba%e4%b8%8b%e7%ab%b9%e4%bb%81%e3%80%91/,阿良井城（あらいじょう）,無し,不明,児玉氏,広島県東広島市福富町下竹仁,34.532167,132.756174
寺家城,https://gosenzo.net/yamajiro/2022/02/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%af%ba%e5%ae%b6%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e6%9d%a1%e7%94%ba%e5%af%ba%e5%ae%b6%e3%80%91/,寺家城,無し,15世紀頃か,原田氏（平賀氏家臣）,広島県東広島市西条町寺家,34.427838,132.709889
鏡山城,https://gosenzo.net/yamajiro/2022/02/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%8f%a1%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e6%9d%a1%e7%94%ba%e5%be%a1%e8%96%97%e5%ae%87%e3%80%91/,鏡山城,西条城,長禄・寛正（1457～66）頃,大内氏、武田氏、尼子氏の城代,広島県東広島市西条町御薗宇(鏡山公園),34.403688,132.726991
金明山城,https://gosenzo.net/yamajiro/2022/02/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%87%91%e6%98%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e5%a0%80%e3%80%91/,金明山城,新城,室町時代,天野氏（金明山天野氏）,広島県東広島市志和町志和堀,34.520868,132.680632
殿様屋敷,https://gosenzo.net/yamajiro/2022/02/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%ae%bf%e6%a7%98%e5%b1%8b%e6%95%b7%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e5%a0%80%e3%80%91/,殿様屋敷,藤内屋敷,不明,天野氏、土肥藤左衛門,広島県東広島市志和町志和堀,34.514685,132.681318
米山城,https://gosenzo.net/yamajiro/2022/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%b1%b3%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,米山城,結城城、米山要害,不明,天野氏,広島県東広島市志和町志和東,34.469750,132.677882
生城山城,https://gosenzo.net/yamajiro/2022/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%94%9f%e5%9f%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,生城山城（おおぎやまじょう）,無し,戦国時代か,生城山天野氏,広島県東広島市志和町志和東,34.488890,132.664129
御薗宇城,https://gosenzo.net/yamajiro/2022/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%be%a1%e8%96%97%e5%ae%87%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e9%ab%98%e5%b1%8b%e7%94%ba%e9%ab%98%e5%b1%8b%e5%a0%80%e3%80%91/,御薗宇城（みそのうじょう）,御園宇城,弘安年間(1278～88）,平賀氏,広島県東広島市高屋町高屋堀,34.471210,132.800717
白山城,https://gosenzo.net/yamajiro/2022/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%99%bd%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e9%ab%98%e5%b1%8b%e7%94%ba%e7%99%bd%e5%b8%82%e3%80%91/,白山城（しろやまじょう）,無し,1503年に平賀弘保によって築かれる。,平賀弘保,広島県東広島市高屋町白市,34.453638,132.825909
頭崎城,https://gosenzo.net/yamajiro/2022/02/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%a0%ad%e5%b4%8e%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e9%ab%98%e5%b1%8b%e7%94%ba%e8%b2%9e%e9%87%8d%e3%80%91/,頭崎城,無し,大永3年(1523年)平賀弘保によって築かれる。,平賀氏,広島県東広島市高屋町貞重,34.479628,132.823194
三ツ城,https://gosenzo.net/yamajiro/2024/03/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e3%83%84%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e8%a5%bf%e6%9d%a1%e7%94%ba%e5%be%a1%e8%96%97%e5%ae%87%e3%80%91/,三ツ城,無し,古墳時代及び戦国時代,平賀広相,広島県東広島市西条町御薗宇,34.416139,132.733806
長者山城,https://gosenzo.net/yamajiro/2024/03/24/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%95%b7%e8%80%85%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%a5%a5%e5%b1%8b%e3%80%91/,長者山城,無し,古代,不明,広島県東広島市奥屋,34.455873,132.605021
長者屋敷,https://gosenzo.net/yamajiro/2024/03/24/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%95%b7%e8%80%85%e5%b1%8b%e6%95%b7%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%a5%a5%e5%b1%8b%e3%80%91/,長者屋敷,無し,戦国時代か,天野氏、阿曽沼氏,広島県東広島市奥屋,34.457250,132.600631
曽場が城,https://gosenzo.net/yamajiro/2024/04/27/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9b%bd%e5%a0%b4%e3%81%8c%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%85%ab%e6%9c%ac%e6%9d%be%e7%94%ba%e9%a3%af%e7%94%b0%e3%80%91/,曽場が城,大山城、飯田城、曾都山城、杣城（同時代史料にはすべて「杣城」と書かれている）（『安芸国の城館』より）,大永年間,伊香賀壱岐守（代官）、飯田頼氏、結城盛貞、杉野（杉？）義晴、弘中隆兼、杉隆宣,広島県東広島市八本松町飯田,34.433885,132.674068
槌山城,https://gosenzo.net/yamajiro/2024/04/27/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%a7%8c%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%85%ab%e6%9c%ac%e6%9d%be%e7%94%ba%e5%90%89%e5%b7%9d%e3%80%91/,槌山城,明神山城,天文12年（1543）、天文20年（1551）に落城。,弘中隆兼、菅田宣真,広島県東広島市八本松町吉川,34.398779,132.655477
鬼が丸城,https://gosenzo.net/yamajiro/2024/04/27/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%ac%bc%e3%81%8c%e4%b8%b8%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%85%ab%e6%9c%ac%e6%9d%be%e7%94%ba%e5%90%89%e5%b7%9d%e3%80%91/,鬼が丸城,無し,天文20年（1551）,毛利隆元,広島県東広島市八本松町吉川,34.397063,132.649306
三津城出城,https://gosenzo.net/yamajiro/2024/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e6%b4%a5%e5%9f%8e%e5%87%ba%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%a5%a5%e5%b1%8b%e3%80%91/,三津城出城,無し,戦国時代か,乃美氏,広島県東広島市志和町奥屋,34.457244,132.629283
